Frequency for Tiva C from pitches.h
B0	->31 	 == 2580645 
C1	->33 	 == 2424242 
CS1	->35 	 == 2285714 
D1	->37 	 == 2162162 
DS1	->39 	 == 2051282 
E1	->41 	 == 1951219 
F1	->44 	 == 1818181 
FS1	->46 	 == 1739130 
G1	->49 	 == 1632653 
GS1	->52 	 == 1538461 
A1	->55 	 == 1454545 
AS1	->58 	 == 1379310 
B1	->62 	 == 1290322 
C2	->65 	 == 1230769 
CS2	->69 	 == 1159420 
D2	->73 	 == 1095890 
DS2	->78 	 == 1025641 
E2	->82 	 == 975609 
F2	->87 	 == 919540 
FS2	->93 	 == 860215 
G2	->98 	 == 816326 
GS2	->104 	 == 769230 
A2	->110 	 == 727272 
AS2	->117 	 == 683760 
B2	->123 	 == 650406 
C3	->131 	 == 610687 
CS3	->139 	 == 575539 
D3	->147 	 == 544217 
DS3	->156 	 == 512820 
E3	->165 	 == 484848 
F3	->175 	 == 457142 
FS3	->185 	 == 432432 
G3	->196 	 == 408163 
GS3	->208 	 == 384615 
A3	->220 	 == 363636 
AS3	->233 	 == 343347 
B3	->262 	 == 305343 
C4	->247 	 == 323886 
CS4	->277 	 == 288808 
D4	->294 	 == 272108 
DS4	->311 	 == 257234 
E4	->330 	 == 242424 
F4	->349 	 == 229226 
FS4	->370 	 == 216216 
G4	->392 	 == 204081 
GS4	->415 	 == 192771 
A4	->440 	 == 181818 
AS4	->466 	 == 171673 
B4	->494 	 == 161943 
C5	->523 	 == 152963 
CS5	->554 	 == 144404 
D5	->587 	 == 136286 
DS5	->622 	 == 128617 
E5	->659 	 == 121396 
F5	->698 	 == 114613 
FS5	->740 	 == 108108 
G5	->784 	 == 102040 
GS5	->831 	 == 96269 
A5	->880 	 == 90909 
AS5	->932 	 == 85836 
B5	->988 	 == 80971 
C6	->1047 	 == 76408 
CS6	->1109 	 == 72137 
D6	->1175 	 == 68085 
DS6	->1245 	 == 64257 
E6	->1319 	 == 60652 
F6	->1397 	 == 57265 
FS6	->1480 	 == 54054 
G6	->1568 	 == 51020 
GS6	->1661 	 == 48163 
A6	->1760 	 == 45454 
AS6	->1865 	 == 42895 
B6	->1976 	 == 40485 
C7	->2093 	 == 38222 
CS7	->2217 	 == 36084 
D7	->2349 	 == 34057 
DS7	->2489 	 == 32141 
E7	->2637 	 == 30337 
F7	->2794 	 == 28632 
FS7	->2960 	 == 27027 
G7	->3136 	 == 25510 
GS7	->3322 	 == 24081 
A7	->3520 	 == 22727 
AS7	->3729 	 == 21453 
B7	->3951 	 == 20248 
C8	->4186 	 == 19111 
CS8	->4435 	 == 18038 
D8	->4699 	 == 17024 
DS8	->4978 	 == 16070 
